video,scene_number,avg_length_of_scene,std_length_of_scene,steps_number,step_description_length_avg,step_description_length_std,ingredients_number
Dominique-ChocolateCake,129,6.23,4.31,13,13.69,3.79,13
Dominique-Madeline,126,5.32,3.77,10,13.0,4.07,16
GR-BeefWellington,141,10.34,7.47,13,10.23,1.85,23
GR-Branzino,127,6.9,4.61,11,17.45,3.14,32
GR-ChickenSupreme,125,8.43,6.42,13,11.08,2.27,19
GR-FishChips,51,6.59,7.57,14,16.0,3.46,32
GR-PoachedEggs,56,9.15,7.06,12,14.5,4.75,18
GR-Ravioli,101,9.5,7.02,14,13.07,3.57,33
GR-SalmonShellfish,119,8.19,6.72,12,14.83,2.82,31
GR-ScrambledEgg,48,8.1,5.96,12,12.75,3.54,9
GR-ShortRibs,16,19.34,19.1,12,12.5,1.85,23
GR-Souffle,164,5.64,4.04,12,10.83,1.82,12
GR-Steak,147,3.48,1.74,14,12.14,3.4,24
GR-SzechuanChicken,104,7.5,6.55,12,9.0,1.29,17
GR-WellingtonBeef,33,14.79,15.63,14,15.07,3.03,27
Madhur-AlooGosht,165,7.65,4.55,13,9.62,2.56,27
Madhur-Chaat,73,5.45,3.62,15,12.6,3.03,25
Madhur-CurryShrimp,131,5.22,3.34,17,9.29,2.63,28
Madhur-Roti,119,7.21,5.17,15,10.13,2.63,11
Niki-SteamRockfish,150,8.46,6.84,6,18.0,6.63,19
Niki-TunaKarrage,100,6.85,5.38,12,16.08,3.93,33
Wolfgang-BechamelSause,164,7.66,4.41,15,13.47,3.14,23
Wolfgang-Branzino,109,9.85,6.84,19,12.74,3.09,38
Wolfgang-Gazpacho,119,7.95,4.77,4,2.5,0.5,43
Wolfgang-OatmealRisotto,169,6.88,3.87,12,23.5,4.7,33
Wolfgang-RoastChicken,69,10.51,7.11,11,10.55,1.56,18
Wolfgang-Salad,101,6.89,3.68,15,12.27,2.05,34
Wolfgang-Steak,118,7.6,4.53,10,13.1,2.98,16
Wolfgang-TunaSashimi,138,7.22,4.02,14,11.07,3.39,37
Yotam-Shashuka,175,7.17,5.86,14,11.71,4.28,24
